baseline,gain,offset,record,side,signal,trial
76.0,1.0,120,sir_1,L,Channel 4,15
106.0,1.0,100,sir_1,L,Channel 5,15
116.0,0.9333333333333333,80,sir_1,L,Channel 6,15
31.99999999999818,1.0,60,sir_1,L,Channel 7,15
201.0,0.16483516483518607,40,sir_1,L,Channel 8,15
16.42,2.5,400,sir_1,L,CoP,15
2260.480000000011,0.041056200072729136,380,sir_1,L,vGRF,15
96.0,0.8383233532934131,200,sir_1,R,Channel 1,15
198.0,0.8374384236453202,170,sir_1,R,Channel 2,15
76.0,0.8158995815899812,145,sir_1,R,Channel 3,15
140.99999999999318,1.0,120,sir_1,R,Channel 4,15
288.0,0.6569343065693779,100,sir_1,R,Channel 5,15
145.9999999999991,0.7608695652173988,80,sir_1,R,Channel 6,15
226.9999999999991,0.31645569620253916,60,sir_1,R,Channel 7,15
243.0,0.14778325123153305,40,sir_1,R,Channel 8,15
10.05,2.5,400,sir_1,R,CoP,15
1216.4999999999986,0.05163511187607848,380,sir_1,R,vGRF,15
74.0,1.0,200,sir_1,L,Channel 1,16
126.0,1.0,170,sir_1,L,Channel 2,16
53.000000000008185,1.0,145,sir_1,L,Channel 3,16
121.0,1.0,120,sir_1,L,Channel 4,16
127.00000000000546,1.0,100,sir_1,L,Channel 5,16
120.0,0.8860759493670886,80,sir_1,L,Channel 6,16
34.99999999999727,1.0,60,sir_1,L,Channel 7,16
232.9999999999941,0.13824884792627717,40,sir_1,L,Channel 8,16
16.24,2.5,400,sir_1,L,CoP,16
2375.559999999989,0.03864670288415198,380,sir_1,L,vGRF,16
49.0,0.619469026548695,200,sir_1,R,Channel 1,16
201.00000000000455,0.8212560386473611,170,sir_1,R,Channel 2,16
101.00000000000318,0.8904109589041468,145,sir_1,R,Channel 3,16
123.00000000000045,1.0,120,sir_1,R,Channel 4,16
334.0,0.5389221556886228,100,sir_1,R,Channel 5,16
225.0,0.4093567251461988,80,sir_1,R,Channel 6,16
252.00000000001046,0.28089887640447875,60,sir_1,R,Channel 7,16
265.0,0.13333333333333713,40,sir_1,R,Channel 8,16
9.859999999999935,2.5,400,sir_1,R,CoP,16
1301.9999999999854,0.04820936639127941,380,sir_1,R,vGRF,16
39.0,0.8139534883721208,200,sir_1,L,Channel 1,17
85.999999999985,1.0,170,sir_1,L,Channel 2,17
51.0,1.0,145,sir_1,L,Channel 3,17
68.999999999995,1.0,120,sir_1,L,Channel 4,17
109.0,1.0,100,sir_1,L,Channel 5,17
115.00000000000182,0.9333333333333107,80,sir_1,L,Channel 6,17
32.0,1.0,60,sir_1,L,Channel 7,17
178.99999999999682,0.1863354037267307,40,sir_1,L,Channel 8,17
16.29999999999989,2.5,400,sir_1,L,CoP,17
2312.4100000000017,0.04224757076469602,380,sir_1,L,vGRF,17
71.0,0.6829268292683223,200,sir_1,R,Channel 1,17
196.99999999999773,0.7264957264958121,170,sir_1,R,Channel 2,17
39.0,0.7222222222222316,145,sir_1,R,Channel 3,17
98.00000000000045,1.0,120,sir_1,R,Channel 4,17
274.0,0.756302521008435,100,sir_1,R,Channel 5,17
134.0,0.9459459459459459,80,sir_1,R,Channel 6,17
207.0,0.3521126760563539,60,sir_1,R,Channel 7,17
185.0,0.20833333333333381,40,sir_1,R,Channel 8,17
9.989999999999954,2.5,400,sir_1,R,CoP,17
1287.0,0.04901960784313794,380,sir_1,R,vGRF,17
63.99999999999591,0.8695652173913418,200,sir_1,L,Channel 1,18
99.00000000000136,1.0,170,sir_1,L,Channel 2,18
53.0,1.0,145,sir_1,L,Channel 3,18
92.0,1.0,120,sir_1,L,Channel 4,18
113.0,1.0,100,sir_1,L,Channel 5,18
123.00000000000318,0.8536585365853328,80,sir_1,L,Channel 6,18
36.0,1.0,60,sir_1,L,Channel 7,18
200.0,0.1675977653631335,40,sir_1,L,Channel 8,18
16.46,2.5,400,sir_1,L,CoP,18
2285.2499999999613,0.040681590998909244,380,sir_1,L,vGRF,18
95.99999999999955,0.6862745098039231,200,sir_1,R,Channel 1,18
197.0,0.6882591093117434,170,sir_1,R,Channel 2,18
40.0,0.7222222222222222,145,sir_1,R,Channel 3,18
102.00000000000091,1.0,120,sir_1,R,Channel 4,18
302.0,0.5590062111801384,100,sir_1,R,Channel 5,18
155.0,0.7368421052631579,80,sir_1,R,Channel 6,18
225.0,0.3225806451612903,60,sir_1,R,Channel 7,18
244.0,0.1485148514851485,40,sir_1,R,Channel 8,18
10.05,2.5,400,sir_1,R,CoP,18
1251.0000000000082,0.051470588235294434,380,sir_1,R,vGRF,18
43.0,0.8536585365853658,200,sir_1,L,Channel 1,19
83.999999999995,1.0,170,sir_1,L,Channel 2,19
50.0,1.0,145,sir_1,L,Channel 3,19
135.0,0.9909909909914287,120,sir_1,L,Channel 4,19
125.0,1.0,100,sir_1,L,Channel 5,19
116.00000000000364,0.933333333333288,80,sir_1,L,Channel 6,19
34.0,1.0,60,sir_1,L,Channel 7,19
196.9999999999941,0.16666666666671015,40,sir_1,L,Channel 8,19
16.569999999999865,2.5,400,sir_1,L,CoP,19
2240.2299999999873,0.045260571576376626,380,sir_1,L,vGRF,19
86.99999999999909,0.7526881720430071,200,sir_1,R,Channel 1,19
197.0,0.8133971291866084,170,sir_1,R,Channel 2,19
45.0,0.738636363636456,145,sir_1,R,Channel 3,19
107.99999999999818,1.0,120,sir_1,R,Channel 4,19
277.99999999999636,0.7377049180328089,100,sir_1,R,Channel 5,19
137.0,0.8974358974358975,80,sir_1,R,Channel 6,19
216.0,0.3267973856209272,60,sir_1,R,Channel 7,19
232.0,0.15789473684210587,40,sir_1,R,Channel 8,19
10.14000000000001,2.5,400,sir_1,R,CoP,19
1273.9999999999927,0.0497159090909166,380,sir_1,R,vGRF,19
57.0,0.8695652173913043,200,sir_1,L,Channel 1,20
92.0,1.0,170,sir_1,L,Channel 2,20
50.49999999999784,1.0,145,sir_1,L,Channel 3,20
94.99999999999318,1.0,120,sir_1,L,Channel 4,20
111.0,1.0,100,sir_1,L,Channel 5,20
114.99999999999181,0.9333333333335481,80,sir_1,L,Channel 6,20
34.999999999998636,1.0,60,sir_1,L,Channel 7,20
174.0,0.1935483870967762,40,sir_1,L,Channel 8,20
16.54,2.5,400,sir_1,L,CoP,20
2344.2200000000016,0.03939799858167434,380,sir_1,L,vGRF,20
152.00000000000273,1.0,200,sir_1,R,Channel 1,20
270.0,0.6779661016949178,170,sir_1,R,Channel 2,20
135.99999999999864,1.0,145,sir_1,R,Channel 3,20
119.0,1.0,120,sir_1,R,Channel 4,20
315.0,0.5357142857143061,100,sir_1,R,Channel 5,20
184.99999999999227,0.551181102362242,80,sir_1,R,Channel 6,20
239.0,0.2976190476190476,60,sir_1,R,Channel 7,20
298.0,0.1171875,40,sir_1,R,Channel 8,20
10.07,2.5,400,sir_1,R,CoP,20
1262.9999999999873,0.04936530324400791,380,sir_1,R,vGRF,20
44.0,0.8284023668639837,200,sir_1,L,Channel 1,21
