png,source_complete_graph,source_segmented_csv,status,gt_start_seconds,gt_end_seconds
Sub01_A/jitu_21/trial_04_l.png,tempgraphs/sub01_a/jitu_21/trial_04_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_l_segmented.csv,created: exact completed-graph display transform,20.34,23.22
Sub01_A/jitu_21/trial_04_r.png,tempgraphs/sub01_a/jitu_21/trial_04_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_04_r_segmented.csv,created: exact completed-graph display transform,20.34,23.22
Sub01_A/jitu_21/trial_05_l.png,tempgraphs/sub01_a/jitu_21/trial_05_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_l_segmented.csv,created: exact completed-graph display transform,19.51,24.57
Sub01_A/jitu_21/trial_05_r.png,tempgraphs/sub01_a/jitu_21/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,19.51,24.57
Sub01_A/jitu_21/trial_06_l.png,tempgraphs/sub01_a/jitu_21/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,20.41,24.87
Sub01_A/jitu_21/trial_06_r.png,tempgraphs/sub01_a/jitu_21/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,20.41,24.87
Sub01_A/jitu_21/trial_07_l.png,tempgraphs/sub01_a/jitu_21/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,17.25,23.53
Sub01_A/jitu_21/trial_07_r.png,tempgraphs/sub01_a/jitu_21/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,17.25,23.53
Sub01_A/jitu_21/trial_08_l.png,tempgraphs/sub01_a/jitu_21/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,20.18,24.62
Sub01_A/jitu_21/trial_08_r.png,tempgraphs/sub01_a/jitu_21/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,20.18,24.62
