normalized_sslw_percent,fmg_channel_1_mean,fmg_channel_1_standard_deviation,contributing_trace_count
85.2842809365,323.902508361,196.258323842,40
85.618729097,322.790217391,199.28870614,40
85.9531772575,326.565886288,205.290401405,40
86.2876254181,332.037374582,210.656356105,40
86.6220735786,332.816513378,214.290041298,40
86.9565217391,328.248369565,216.413845122,40
87.2909698997,324.19548495,217.520125541,40
87.6254180602,321.313419732,218.675130279,40
87.9598662207,321.441638796,218.78131997,40
88.2943143813,321.65819398,219.793446838,40
88.6287625418,324.21333612,221.128134361,40
88.9632107023,329.502884615,221.359222422,40
89.2976588629,337.020568562,222.654845813,40
89.6321070234,344.088043478,224.251128567,40
89.9665551839,349.00840301,225.379207972,40
90.3010033445,349.270986622,220.895469598,40
90.635451505,344.864966555,214.297064452,40
90.9698996656,337.480434783,208.965356993,40
91.3043478261,330.02826087,203.809885733,40
91.6387959866,321.21270903,196.332254744,40
91.9732441472,313.375919732,189.845643971,40
92.3076923077,307.840384615,195.477645469,40
92.6421404682,304.644899666,206.336641198,40
92.9765886288,302.804682274,212.742856124,40
93.3110367893,304.384949833,214.688671766,40
93.6454849498,307.658110368,214.43470733,40
93.9799331104,311.910869565,212.006923886,40
94.3143812709,316.185033445,207.100121676,40
94.6488294314,315.320819398,201.50266331,40
94.983277592,310.78770903,193.933219121,40
95.3177257525,306.29527592,184.490105069,40
95.652173913,303.476086957,177.580086023,40
95.9866220736,301.837458194,175.234577166,40
96.3210702341,303.530267559,176.059126629,40
96.6555183946,302.031438127,179.273331904,40
96.9899665552,300.977090301,182.563661641,40
97.3244147157,297.197324415,182.133212885,40
97.6588628763,295.357943144,179.338705893,40
97.9933110368,306.280602007,179.630710407,40
98.3277591973,310.314046823,184.586497338,40
98.6622073579,313.563963211,199.470110483,40
98.9966555184,316.389632107,211.888093658,40
99.3311036789,316.581730769,221.952790374,40
99.6655518395,318.679682274,229.322475262,40
100,322.8375,230.639014141,40
