png,source_complete_graph,source_segmented_csv,status,sslw_start_seconds,sslw_end_seconds
Sub01_A/jitu_21/trial_05_r.png,tempgraphs/sub01_a/jitu_21/trial_05_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_05_r_segmented.csv,created: exact completed-graph display transform,13.38,19.51
Sub01_A/jitu_21/trial_06_l.png,tempgraphs/sub01_a/jitu_21/trial_06_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_l_segmented.csv,created: exact completed-graph display transform,7.79,20.41
Sub01_A/jitu_21/trial_06_r.png,tempgraphs/sub01_a/jitu_21/trial_06_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_06_r_segmented.csv,created: exact completed-graph display transform,7.79,20.41
Sub01_A/jitu_21/trial_07_l.png,tempgraphs/sub01_a/jitu_21/trial_07_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_l_segmented.csv,created: exact completed-graph display transform,9.69,17.25
Sub01_A/jitu_21/trial_07_r.png,tempgraphs/sub01_a/jitu_21/trial_07_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_07_r_segmented.csv,created: exact completed-graph display transform,9.69,17.25
Sub01_A/jitu_21/trial_08_l.png,tempgraphs/sub01_a/jitu_21/trial_08_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_l_segmented.csv,created: exact completed-graph display transform,7.33,20.18
Sub01_A/jitu_21/trial_08_r.png,tempgraphs/sub01_a/jitu_21/trial_08_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_08_r_segmented.csv,created: exact completed-graph display transform,7.33,20.18
Sub01_A/jitu_21/trial_09_l.png,tempgraphs/sub01_a/jitu_21/trial_09_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_l_segmented.csv,created: exact completed-graph display transform,10.35,19.93
Sub01_A/jitu_21/trial_09_r.png,tempgraphs/sub01_a/jitu_21/trial_09_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_09_r_segmented.csv,created: exact completed-graph display transform,10.35,19.93
Sub01_A/jitu_21/trial_10_l.png,tempgraphs/sub01_a/jitu_21/trial_10_l_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_l_segmented.csv,created: exact completed-graph display transform,5.90,19.49
Sub01_A/jitu_21/trial_10_r.png,tempgraphs/sub01_a/jitu_21/trial_10_r_complete.png,tempgraphs/sub01_a/segmented_data/jitu_21/trial_10_r_segmented.csv,created: exact completed-graph display transform,5.90,19.49
Sub01_H/abh_1/trial_01_l.png,tempgraphs/sub01_h/abh_1/trial_01_l_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_l_segmented.csv,created: exact completed-graph display transform,7.29,16.57
Sub01_H/abh_1/trial_01_r.png,tempgraphs/sub01_h/abh_1/trial_01_r_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_01_r_segmented.csv,created: exact completed-graph display transform,7.29,16.57
Sub01_H/abh_1/trial_02_l.png,tempgraphs/sub01_h/abh_1/trial_02_l_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_l_segmented.csv,created: exact completed-graph display transform,6.11,15.14
Sub01_H/abh_1/trial_02_r.png,tempgraphs/sub01_h/abh_1/trial_02_r_complete.png,tempgraphs/sub01_h/segmented_data/abh_1/trial_02_r_segmented.csv,created: exact completed-graph display transform,6.11,15.14
