png,source_complete_graph,source_segmented_csv,status,sssw_start_seconds,sssw_end_seconds
Sub08_H/sir_21/trial_09_r.png,tempgraphs/Sub08_H/sir_21/trial_09_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_09_r_segmented.csv,created: exact completed-graph display transform,2.80,7.6
Sub08_H/sir_21/trial_10_l.png,tempgraphs/Sub08_H/sir_21/trial_10_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_l_segmented.csv,created: exact completed-graph display transform,3.71,8.22
Sub08_H/sir_21/trial_10_r.png,tempgraphs/Sub08_H/sir_21/trial_10_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_10_r_segmented.csv,created: exact completed-graph display transform,3.71,8.22
Sub08_H/sir_21/trial_11_l.png,tempgraphs/Sub08_H/sir_21/trial_11_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_l_segmented.csv,created: exact completed-graph display transform,4.03,9.68
Sub08_H/sir_21/trial_11_r.png,tempgraphs/Sub08_H/sir_21/trial_11_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_11_r_segmented.csv,created: exact completed-graph display transform,4.03,9.68
Sub08_H/sir_21/trial_12_l.png,tempgraphs/Sub08_H/sir_21/trial_12_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_l_segmented.csv,created: exact completed-graph display transform,3.79,9.79
Sub08_H/sir_21/trial_12_r.png,tempgraphs/Sub08_H/sir_21/trial_12_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_12_r_segmented.csv,created: exact completed-graph display transform,3.79,9.79
Sub08_H/sir_21/trial_13_l.png,tempgraphs/Sub08_H/sir_21/trial_13_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_l_segmented.csv,created: exact completed-graph display transform,3.04,10.18
Sub08_H/sir_21/trial_13_r.png,tempgraphs/Sub08_H/sir_21/trial_13_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_13_r_segmented.csv,created: exact completed-graph display transform,3.04,10.18
Sub08_H/sir_21/trial_14_l.png,tempgraphs/Sub08_H/sir_21/trial_14_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_l_segmented.csv,created: exact completed-graph display transform,3.59,5.82
Sub08_H/sir_21/trial_14_r.png,tempgraphs/Sub08_H/sir_21/trial_14_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_14_r_segmented.csv,created: exact completed-graph display transform,3.59,5.82
Sub08_H/sir_21/trial_15_l.png,tempgraphs/Sub08_H/sir_21/trial_15_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_l_segmented.csv,created: exact completed-graph display transform,3.09,8.29
Sub08_H/sir_21/trial_15_r.png,tempgraphs/Sub08_H/sir_21/trial_15_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_15_r_segmented.csv,created: exact completed-graph display transform,3.09,8.29
Sub08_H/sir_21/trial_16_l.png,tempgraphs/Sub08_H/sir_21/trial_16_l_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_l_segmented.csv,created: exact completed-graph display transform,4.07,6.38
Sub08_H/sir_21/trial_16_r.png,tempgraphs/Sub08_H/sir_21/trial_16_r_complete.png,tempgraphs/segmented_data/Sub08_H/sir_21/trial_16_r_segmented.csv,created: exact completed-graph display transform,4.07,6.38
