baseline,gain,offset,record,side,signal,trial
658.0,0.20676691729323307,120,jitu_21,R,Channel 4,4
363.00000000001364,0.28391167192428124,100,jitu_21,R,Channel 5,4
349.0,0.2389078498293527,80,jitu_21,R,Channel 6,4
536.0,0.10351966873706005,60,jitu_21,R,Channel 7,4
416.0,0.09900990099010945,40,jitu_21,R,Channel 8,4
3.19,2.4752475247826533,400,jitu_21,R,CoP,4
79.99999999998909,0.06559766763848345,380,jitu_21,R,vGRF,4
168.99999999999272,1.0,200,jitu_21,L,Channel 1,5
40.0,1.0,170,jitu_21,L,Channel 2,5
52.0,1.0,145,jitu_21,L,Channel 3,5
42.0,1.0,120,jitu_21,L,Channel 4,5
0.0,1.0,100,jitu_21,L,Channel 5,5
54.99999999999818,1.0,80,jitu_21,L,Channel 6,5
36.0,1.0,60,jitu_21,L,Channel 7,5
33.99999999999545,1.0,40,jitu_21,L,Channel 8,5
15.14,2.5,400,jitu_21,L,CoP,5
1344.5200000000164,0.06873257138368263,380,jitu_21,L,vGRF,5
544.0,0.4545454545454663,200,jitu_21,R,Channel 1,5
325.0,0.6324110671936759,170,jitu_21,R,Channel 2,5
427.99999999999454,0.639810426540301,145,jitu_21,R,Channel 3,5
624.0,0.2217741935483928,120,jitu_21,R,Channel 4,5
295.0,0.357142857142873,100,jitu_21,R,Channel 5,5
294.0,0.29535864978902954,80,jitu_21,R,Channel 6,5
456.0,0.12345679012345678,60,jitu_21,R,Channel 7,5
369.0,0.1086956521739141,40,jitu_21,R,Channel 8,5
3.19,2.466525722362215,400,jitu_21,R,CoP,5
141.0,0.07328990228013614,380,jitu_21,R,vGRF,5
175.00000000000364,1.0,200,jitu_21,L,Channel 1,6
43.0,1.0,170,jitu_21,L,Channel 2,6
54.0,1.0,145,jitu_21,L,Channel 3,6
43.0,1.0,120,jitu_21,L,Channel 4,6
0.0,1.0,100,jitu_21,L,Channel 5,6
82.0,1.0,80,jitu_21,L,Channel 6,6
37.0,1.0,60,jitu_21,L,Channel 7,6
33.000000000009095,1.0,40,jitu_21,L,Channel 8,6
14.8,2.5,400,jitu_21,L,CoP,6
1287.6600000000092,0.0709435492044422,380,jitu_21,L,vGRF,6
610.0,0.3958333333333333,200,jitu_21,R,Channel 1,6
375.0000000000091,0.5498281786941409,170,jitu_21,R,Channel 2,6
471.0000000000073,0.5421686746987794,145,jitu_21,R,Channel 3,6
642.0,0.2140077821011673,120,jitu_21,R,Channel 4,6
345.0000000000073,0.2999999999999927,100,jitu_21,R,Channel 5,6
349.0000000000073,0.23728813559324077,80,jitu_21,R,Channel 6,6
521.0000000000064,0.10615711252654025,60,jitu_21,R,Channel 7,6
422.0,0.09230769230769756,40,jitu_21,R,Channel 8,6
3.19,2.227880330999364,400,jitu_21,R,CoP,6
134.0,0.07305194805195708,380,jitu_21,R,vGRF,6
172.00000000001273,1.0,200,jitu_21,L,Channel 1,7
46.0,1.0,170,jitu_21,L,Channel 2,7
49.0,1.0,145,jitu_21,L,Channel 3,7
43.0,1.0,120,jitu_21,L,Channel 4,7
0.0,1.0,100,jitu_21,L,Channel 5,7
67.0,1.0,80,jitu_21,L,Channel 6,7
36.0,1.0,60,jitu_21,L,Channel 7,7
33.99999999999363,1.0,40,jitu_21,L,Channel 8,7
14.455000000000059,2.5,400,jitu_21,L,CoP,7
1328.7799999999963,0.058778087528970104,380,jitu_21,L,vGRF,7
629.9999999999973,0.36679536679537644,200,jitu_21,R,Channel 1,7
392.99999999999636,0.4848484848485437,170,jitu_21,R,Channel 2,7
471.99999999998363,0.49450549450552733,145,jitu_21,R,Channel 3,7
673.0000000000127,0.20183486238531756,120,jitu_21,R,Channel 4,7
369.99999999998363,0.27692307692309237,100,jitu_21,R,Channel 5,7
325.99999999999636,0.25925925925926274,80,jitu_21,R,Channel 6,7
533.9999999999973,0.1030927835051557,60,jitu_21,R,Channel 7,7
428.0,0.08771929824561449,40,jitu_21,R,Channel 8,7
3.17,2.2250476795945815,400,jitu_21,R,CoP,7
210.99999999999818,0.08,380,jitu_21,R,vGRF,7
172.0,1.0,200,jitu_21,L,Channel 1,8
44.0,1.0,170,jitu_21,L,Channel 2,8
52.0,1.0,145,jitu_21,L,Channel 3,8
44.0,1.0,120,jitu_21,L,Channel 4,8
0.0,1.0,100,jitu_21,L,Channel 5,8
82.0,1.0,80,jitu_21,L,Channel 6,8
37.0,1.0,60,jitu_21,L,Channel 7,8
33.00000000001182,1.0,40,jitu_21,L,Channel 8,8
15.46,2.5,400,jitu_21,L,CoP,8
1288.4199999999946,0.05222711333283635,380,jitu_21,L,vGRF,8
585.9999999999845,0.3869653767820896,200,jitu_21,R,Channel 1,8
363.99999999998454,0.5673758865250182,170,jitu_21,R,Channel 2,8
446.0,0.5818965517241379,145,jitu_21,R,Channel 3,8
633.0,0.21611001964637125,120,jitu_21,R,Channel 4,8
319.99999999998454,0.32727272727276296,100,jitu_21,R,Channel 5,8
299.00000000001,0.28806584362140786,80,jitu_21,R,Channel 6,8
465.0000000000091,0.12048192771084074,60,jitu_21,R,Channel 7,8
370.0,0.10752688172044983,40,jitu_21,R,Channel 8,8
0.0,2.0337013364339858,400,jitu_21,R,CoP,8
0.0,0.060080106809083815,380,jitu_21,R,vGRF,8
177.0,1.0,200,jitu_21,L,Channel 1,9
46.0,1.0,170,jitu_21,L,Channel 2,9
52.00000000000364,1.0,145,jitu_21,L,Channel 3,9
44.0,1.0,120,jitu_21,L,Channel 4,9
0.0,1.0,100,jitu_21,L,Channel 5,9
83.00000000000637,1.0,80,jitu_21,L,Channel 6,9
37.0,1.0,60,jitu_21,L,Channel 7,9
34.0,1.0,40,jitu_21,L,Channel 8,9
14.139999999999892,2.5,400,jitu_21,L,CoP,9
1368.699999999971,0.04695213565142964,380,jitu_21,L,vGRF,9
620.0000000000127,0.36468330134363075,200,jitu_21,R,Channel 1,9
405.9999999999982,0.4678362573099603,170,jitu_21,R,Channel 2,9
481.0,0.48042704626342664,145,jitu_21,R,Channel 3,9
647.0,0.20872865275142316,120,jitu_21,R,Channel 4,9
370.0000000000273,0.27777777777775436,100,jitu_21,R,Channel 5,9
361.9999999999959,0.22801302931597345,80,jitu_21,R,Channel 6,9
501.99999999998363,0.11037527593819384,60,jitu_21,R,Channel 7,9
434.0,0.08547008547008837,40,jitu_21,R,Channel 8,9
3.18,2.473498233245683,400,jitu_21,R,CoP,9
194.0,0.0778546712802818,380,jitu_21,R,vGRF,9
175.99999999998272,1.0,200,jitu_21,L,Channel 1,10
46.0,1.0,170,jitu_21,L,Channel 2,10
54.0,1.0,145,jitu_21,L,Channel 3,10
43.0,1.0,120,jitu_21,L,Channel 4,10
0.0,1.0,100,jitu_21,L,Channel 5,10
117.0,1.0,80,jitu_21,L,Channel 6,10
37.0,1.0,60,jitu_21,L,Channel 7,10
33.999999999998636,1.0,40,jitu_21,L,Channel 8,10
15.174999999999969,2.5,400,jitu_21,L,CoP,10
1285.44,0.07706026112419911,380,jitu_21,L,vGRF,10
627.0,0.37698412698413925,200,jitu_21,R,Channel 1,10
410.0,0.4733727810650975,170,jitu_21,R,Channel 2,10
488.0,0.4927007299270073,145,jitu_21,R,Channel 3,10
649.9999999999914,0.2107279693486625,120,jitu_21,R,Channel 4,10
384.0,0.265486725663724,100,jitu_21,R,Channel 5,10
372.0,0.22364217252396165,80,jitu_21,R,Channel 6,10
537.4999999999982,0.10235414534289364,60,jitu_21,R,Channel 7,10
439.0,0.0845070422535267,40,jitu_21,R,Channel 8,10
3.19,2.227880330999364,400,jitu_21,R,CoP,10
98.24999999999955,0.0663961637772182,380,jitu_21,R,vGRF,10
