normalized_gt_percent,fmg_channel_4_mean,fmg_channel_4_standard_deviation,contributing_trace_count
46.1538461538,336.530769231,296.385364949,40
46.4882943144,336.811622074,296.648263548,40
46.8227424749,337.312040134,296.962414934,40
47.1571906355,337.991638796,297.506971129,40
47.491638796,338.532274247,298.071764179,40
47.8260869565,339.169565217,298.55431942,40
48.1605351171,339.672408027,299.030793541,40
48.4949832776,339.926923077,299.319203121,40
48.8294314381,340.0375,299.40168935,40
49.1638795987,340.222240803,299.455860177,40
49.4983277592,340.244397993,299.320497992,40
49.8327759197,340.12048495,299.265104281,40
50.1672240803,340.006688963,298.874530411,40
50.5016722408,339.6840301,298.433155994,40
50.8361204013,339.049498328,297.737243919,40
51.1705685619,338.338795987,297.12904267,40
51.5050167224,337.755058528,296.643056137,40
51.8394648829,336.998327759,295.893644528,40
52.1739130435,336.188043478,295.284533312,40
52.508361204,335.136914716,294.679449149,40
52.8428093645,334.664632107,294.673148076,40
53.1772575251,333.890384615,294.617694167,40
53.5117056856,333.227090301,294.909648453,40
53.8461538462,332.684615385,295.117670745,40
54.1806020067,332.28256689,295.469720455,40
54.5150501672,332.425919732,295.709689698,40
54.8494983278,332.961454849,295.955229977,40
55.1839464883,333.770986622,296.160197581,40
55.5183946488,334.926170569,296.391239334,40
55.8528428094,335.659991639,296.710591938,40
56.1872909699,335.934698997,296.898540812,40
56.5217391304,336.435869565,297.084635215,40
56.856187291,336.93729097,297.521085302,40
57.1906354515,337.736204013,297.777343327,40
57.525083612,338.355602007,298.195375199,40
57.8595317726,338.682232441,298.38930946,40
58.1939799331,339.034531773,298.475145981,40
58.5284280936,339.412876254,298.69013282,40
58.8628762542,339.760535117,298.839170536,40
59.1973244147,340.041847826,299.035793696,40
59.5317725753,340.40819398,299.261097327,40
59.8662207358,340.797658863,299.447617517,40
60.2006688963,341.369481605,299.940807947,40
60.5351170569,341.919397993,300.151487671,40
60.8695652174,342.154347826,300.411098914,40
61.2040133779,342.565510033,300.828428388,40
